epoch,iso,elapsed,mv1,mv2,mv3,mv4,mv5,mv6,ma1,ma2,ma3,ma4,ma5,ma6,ma_sum,ma_max,ma_min,ma_spread,mv_min,gpu_w,gpu_c,gpu_util,sm_mhz,mem_mhz,mem_c,read_error
1786737566.157,2026-08-14T21:59:26,0.000,12168,12160,12168,12160,12160,12168,440,460,460,420,500,460,2740,500,420,80,12160,,,,,,,
1786737566.655,2026-08-14T21:59:26,0.500,12168,12160,12168,12168,12160,12168,420,440,440,420,480,440,2640,480,420,60,12160,19.27,43,0,367,405,N/A,
1786737567.157,2026-08-14T21:59:27,1.000,12168,12160,12168,12160,12160,12168,420,440,440,400,480,440,2620,480,400,80,12160,20.59,44,0,510,405,N/A,
1786737567.657,2026-08-14T21:59:27,1.500,12168,12160,12168,12160,12160,12168,420,440,440,400,460,440,2600,460,400,60,12160,22.08,44,6,345,405,N/A,
1786737568.157,2026-08-14T21:59:28,2.000,12168,12160,12168,12160,12160,12168,420,440,420,400,460,440,2580,460,400,60,12160,20.76,44,3,367,405,N/A,
1786737568.657,2026-08-14T21:59:28,2.500,12168,12160,12168,12160,12160,12168,420,440,440,400,460,440,2600,460,400,60,12160,20.52,44,3,397,405,N/A,
1786737569.157,2026-08-14T21:59:29,3.000,12168,12160,12168,12168,12160,12168,420,440,420,400,460,440,2580,460,400,60,12160,21.27,44,0,442,405,N/A,
1786737569.655,2026-08-14T21:59:29,3.501,12168,12160,12168,12160,12160,12168,420,440,440,420,460,460,2640,460,420,40,12160,22.12,44,3,525,405,N/A,
1786737570.157,2026-08-14T21:59:30,4.001,12168,12160,12168,12160,12160,12168,420,440,460,440,500,480,2740,500,420,80,12160,22.90,44,4,562,405,N/A,
1786737570.658,2026-08-14T21:59:30,4.501,12168,12160,12168,12160,12160,12168,440,460,460,440,500,480,2780,500,440,60,12160,25.63,44,7,450,405,N/A,
1786737571.158,2026-08-14T21:59:31,5.001,12168,12160,12168,12160,12160,12168,460,460,460,440,500,480,2800,500,440,60,12160,27.97,44,4,517,405,N/A,
1786737571.658,2026-08-14T21:59:31,5.501,12168,12160,12168,12160,12160,12168,460,480,460,440,520,480,2840,520,440,80,12160,26.73,44,4,510,405,N/A,
1786737572.155,2026-08-14T21:59:32,6.001,12168,12160,12168,12160,12160,12168,460,480,460,440,520,480,2840,520,440,80,12160,26.58,44,4,435,405,N/A,
1786737572.657,2026-08-14T21:59:32,6.501,12168,12160,12168,12160,12160,12168,460,460,460,440,520,480,2820,520,440,80,12160,25.42,44,3,367,405,N/A,
1786737573.156,2026-08-14T21:59:33,7.001,12168,12160,12168,12160,12160,12168,460,460,460,440,520,480,2820,520,440,80,12160,24.04,44,6,322,405,N/A,
1786737573.657,2026-08-14T21:59:33,7.501,12168,12160,12168,12160,12160,12168,460,460,460,440,500,460,2780,500,440,60,12160,24.96,44,4,360,405,N/A,
